"crl.tot","dollar","bang","money","n000","make","yesno"
76,0.136,0,0,0,0,"n"
90,0,0,0,0,0,"n"
85,0,0.107,0,0,0,"n"
17,0,0,0,0,0,"n"
96,0,0,0,0,0,"n"
555,0,0.153,0,0,0,"y"
49,0,0,0,0,0,"n"
102,0,0.209,0,0,0,"n"
11,0,1.886,0,0,0,"n"
693,0.018,0,0,0,0.2,"n"
242,0.267,0.468,0,0.96,0,"y"
1738,0.009,0.019,0,0,0.06,"n"
1029,0,0,0,0,0,"n"
18,0,0,0,0,0,"n"
89,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
63,0.116,1.16,0,0,0,"y"
137,0.41,0.82,0,0.45,0,"y"
5,0,0,0,0,0,"n"
388,0,0.03,0,0,0,"n"
55,0,0,0,0,0,"n"
58,0,1.548,0,0,0,"n"
113,0,1.461,0,0,0,"y"
15,0,0,0,0,0,"n"
118,0,0.046,0,0,0,"y"
139,0.168,0,0.32,0,0,"y"
5,0,0,0,0,0,"n"
147,0.037,0,0,0,0,"n"
3086,0.004,0,0,0,0.02,"n"
403,0.044,0.022,0,0,0,"n"
598,0,0.025,0,0,0,"n"
90,0,0,0,0,0,"n"
1028,0.18,0.372,0.43,0.43,0.21,"y"
103,0,1.16,0,0,0,"n"
178,0,0.016,0,0,0,"n"
63,0.215,0,0,0,0,"y"
8,0,3.048,0,0,0,"n"
730,0.16,0.16,0,0.19,0,"y"
5,0,0,0,0,0,"n"
1324,0.15,0.037,0,0.9,0,"y"
9,0,0,0,0,0,"n"
137,0,0.615,0,0,0,"y"
20,0,0,0,0,0,"n"
45,0,0.334,1.96,0,0,"y"
359,0,0.063,0,0,0,"n"
5,0,0,0,0,0,"n"
21,0,0.348,0,0,0,"n"
339,0.036,0.813,0,0,0,"y"
84,0.601,0,0,0,0,"n"
161,0,0,0,0,0,"y"
24,0,0,0,0,0,"n"
30,0,0,0,0,0,"n"
94,0,0.406,0,0,0,"n"
16,0,0.684,0,0,0,"n"
128,0,0.198,0,0,0,"n"
22,0,0.181,0,0,0,"n"
686,0.041,0,0,0,0.09,"n"
921,0.191,0.438,0.77,1.35,0.77,"y"
69,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
1161,0.016,0,0,0,0.05,"n"
29,0,0,0,0,0,"n"
64,0,0,0,0,0,"n"
75,0,0,0,0,0,"n"
19,0,0,0,0,0,"n"
2045,0.157,0.518,0.08,0.42,0,"y"
18,0,0.766,0,0,0,"n"
24,0,0,0,0,0,"n"
42,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
10,0,0,0,0,0,"n"
134,0,0,0,0,0,"y"
114,0,1.431,0,0,0,"y"
1834,0.101,0.356,0.08,1.1,0.08,"y"
57,0,0,0,0,0,"n"
162,0.612,2.143,0,0,0.9,"y"
78,0,0,0,0,0,"n"
632,0.306,0.741,1.38,0,1.18,"y"
52,0,0.152,0,0,0,"n"
511,0,0,0,0,0.1,"n"
306,0,0.034,0,0,0.09,"n"
5,0,0,0,0,0,"n"
42,0,0.164,0,0,0,"y"
855,0,0,0,0.07,0,"n"
55,0.429,0.6,0,0,0,"y"
316,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
287,0.173,0.26,0,2.05,0.25,"y"
27,0,0.371,0,0,0,"n"
53,0.154,0.928,0,0.86,0.86,"y"
29,0,0,0,0,0,"n"
18,0,0,0,0,0,"n"
195,0.331,1.158,0,0,0,"y"
13,0,0,0,0,3.03,"n"
208,0,0.037,0,0,0,"y"
543,0.312,0.364,0,0.77,0,"y"
46,0,0.257,2.04,0,0,"y"
82,0,0,0,0,0,"n"
329,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
381,0.065,0.016,0,0.74,0,"y"
12,0,0,0,0,0,"n"
37,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
158,0,0,0,0,0,"y"
46,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
434,2.038,0,0,0,0,"n"
18,0,0,0,0,0,"n"
124,0.36,1.562,0,0.8,0.8,"y"
82,0,0,0,0,0.54,"y"
5,0,0,0,0,0,"n"
543,0.036,1.018,0,0,0,"y"
46,0,0.414,0,0,0,"n"
61,0,0,0,0,0.86,"n"
53,0,0,0,0,2,"n"
504,0.233,0.155,0.83,0.47,0.59,"y"
588,0.118,0.054,0.2,0.15,0.05,"y"
3313,0.15,0.268,0.57,1.14,0.54,"y"
10,0,0,0,0,0,"n"
28,0,0,0,0,0,"n"
189,0.117,0,0,0,0,"n"
18,0,0,0,0,0,"n"
160,0,0,0,0,0,"n"
301,0.132,0.53,0.82,0,0.82,"y"
219,0,0,0,0,0,"n"
18,0,0,0,0,0,"n"
38,0,0,0,0,0,"n"
281,0,0.807,0,0,0,"y"
9,0,0,0,0,0,"n"
67,0,0,0,0,0,"y"
1,0,0,0,0,0,"n"
45,0,0,0,0,0,"n"
64,0,0.537,0.9,0,0.9,"y"
135,0,0.093,0.64,0,0,"y"
11,0,0,0,0,2.77,"n"
29,0,0,0,0,0,"n"
55,0,0,0,0,0,"n"
13,0,0.943,0,0,0,"n"
199,0,0,0,0,0,"n"
262,0,0.043,0,0,0,"n"
52,0,3.571,0,0,0,"y"
10,0,0,0,0,0,"n"
623,0.043,0,0,0,0.06,"n"
41,0.271,0.542,0,1.44,0,"y"
256,0.029,0.148,0,0,0,"n"
10,0,0,0,0,0,"n"
13,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
170,0.169,0.508,0,0,0,"y"
104,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
179,0,0.942,0.43,0,0.43,"y"
161,0,0,0,0,0,"n"
1449,0.421,0.441,0.34,0.56,0.17,"y"
21,0,0.277,0,0,0,"y"
7,0,0,0,0,0,"n"
31,0,0.471,0,0,0,"n"
60,0,0.432,0,0,0,"n"
37,0,0,0,0,0,"n"
78,0,0,1.88,0,0,"y"
6,0,0,0,0,0,"n"
80,0,0,0,0,0,"n"
215,0,0.048,0,0,0,"n"
886,0,0.555,0.26,0.53,0,"y"
62,0.437,0.145,0,0,0,"y"
60,0.215,0,0,0,0,"y"
29,0,0,0,0,0,"n"
35,0,0,0,0,0,"n"
170,0.027,0,0,0,0,"y"
80,0,0.61,0,0,0,"y"
175,0,0.132,0,0.62,0,"y"
5,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
